Sites,Depth,X Value 1 two_theta,X Value 2 peak_height,X Value 3 peak_width,X Value 4 MgCO3
1003,1233.15,29.38,4761,0.148079491,-0.503878844
1003,1233.15,30.71,282,0.154492754,42.35797516
1003,1242.75,29.4,4316,0.156241168,0.169728441
1003,1242.75,30.8,104,0.15012987,45.12305365
1003,1252.47,29.41,3881,0.177994152,0.506184536
1003,1252.47,29.92,94,0.095238095,17.36375578
1003,1252.47,30.7,149,0.117716667,42.04973067
1003,1262.38,29.38,3080,0.16638613,-0.503878844
1003,1262.38,30.71,279,0.194230769,42.35797516
1003,1271.7,29.37,4679,0.148739627,-0.841030508
1003,1271.7,30.72,139,0.130938228,42.66601641
1003,1281.02,29.38,4624,0.154778369,-0.503878844
1003,1281.02,30.68,151,0.183686594,41.4326312
1003,1290.85,29.38,4529,0.151577349,-0.503878844
1003,1290.85,30.76,114,0.126514423,43.896153
1004,1.89,29.43,180,0.042913793,1.178402809
1004,1.89,29.75,339,0.265104895,11.80954494
1004,1.89,30.01,88,0.035555556,20.27843951
1004,7.19,29.44,182,0.021644737,1.514165459
1004,7.19,29.76,259,0.293221289,12.13804082
1004,15.19,29.39,204,0.1175,-0.166959273
1004,15.19,29.8,266,0.297777778,13.4497934
1004,16.69,29.39,454,0.116691176,-0.166959273
1004,16.69,29.75,635,0.286706349,11.80954494
1004,18.19,29.49,372,0.265601888,3.189523238
1004,18.19,29.76,299,0.146041667,12.13804082
1004,19.69,29.41,1063,0.172274405,0.506184536
1004,19.69,29.75,1475,0.2418675,11.80954494
1004,21.19,29.49,671,0.524594055,3.189523238
1004,21.19,29.72,615,0.112666667,10.82271513
1004,22.69,29.49,511,0.513444444,3.189523238
1004,22.69,29.77,497,0.101375,12.46631338
1004,22.7,29.47,497,0.531694915,2.520070283
1004,22.7,29.72,475,0.153221899,10.82271513
1004,24.19,29.44,449,0.5052,1.514165459
